,title,index,discipline,year,context,files,correctAlternative,alternativesIntroduction,alternatives,dificuldade,tema,subassunto
0,Questão 136 - ENEM 2023,136,matematica,2023,"Um artista plástico esculpe uma escultura a partir de um bloco de madeira de lei, em etapas. Inicialmente, esculpe um cone reto com 36 cm de altura e diâmetro da base medindo 18 cm. Em seguida, remove desse cone um cone menor, cujo diâmetro da base mede 6 cm, obtendo, assim, um tronco de cone, conforme ilustrado na figura.

![](https://enem.dev/2023/questions/136/565c2d5a-96a0-4468-9bb1-2710707a40fd.png)

Em seguida, perfura esse tronco de cone, removendo um cilindro reto, de diâmetro 6 cm, cujo eixo de simetria é o mesmo do cone original. Dessa forma, ao final, a escultura tem a forma de um tronco de cone com uma perfuração cilíndrica de base a base.  
O tipo de madeira utilizada para produzir essa escultura tem massa igual a 0,6 g por centímetro cúbico de volume. Utilize 3 como aproximação para π.",['https://enem.dev/2023/questions/136/565c2d5a-96a0-4468-9bb1-2710707a40fd.png'],B,"Qual é a massa, em grama, dessa escultura?","[{'letter': 'A', 'text': '1.198,8', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '1.296,0', 'file': None, 'isCorrect': True}, {'letter': 'C', 'text': '1.360,8', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '4.665,6', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '4.860,0', 'file': None, 'isCorrect': False}]",Média,Geometria Espacial,Volume de Cone e Cilindro / Tronco de Cone
1,Questão 137 - ENEM 2023,137,matematica,2023,"Os 100 funcionários de uma empresa estão distribuídos em dois setores: Produção e Administração.

Os funcionários de um mesmo setor recebem salários com valores iguais. O quadro apresenta a quantidade de funcionários por setor e seus respectivos salários.

![](https://enem.dev/2023/questions/137/fc161c5c-10e9-46d8-a75d-09c59b21d5a4.png)",['https://enem.dev/2023/questions/137/fc161c5c-10e9-46d8-a75d-09c59b21d5a4.png'],C,"A média dos salários dos 100 funcionários dessa empresa, em real, é","[{'letter': 'A', 'text': '2.000,00.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '2.500,00.', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '3.250,00.', 'file': None, 'isCorrect': True}, {'letter': 'D', 'text': '4.500,00.', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '9.000,00.', 'file': None, 'isCorrect': False}]",Média,Estatística e Probabilidade,Média Aritmética / Análise de Tabelas
2,Questão 138 - ENEM 2023,138,matematica,2023,"Visando atrair mais clientes, o gerente de uma loja anunciou uma promoção em que cada cliente que realizar uma compra pode ganhar um voucher para ser usado em sua próxima compra. Para ganhar seu voucher, o cliente precisa retirar, ao acaso, uma bolinha de dentro de cada uma das duas urnas A e B disponibilizadas pelo gerente, nas quais há apenas bolinhas pretas e brancas. Atualmente, a probabilidade de se escolher, ao acaso, uma bolinha preta na urna A é igual a 20% e a probabilidade de se escolher uma bolinha preta na urna B é 25%. Ganha o voucher o cliente que retirar duas bolinhas pretas, uma de cada urna.

Com o passar dos dias, o gerente percebeu que, para a promoção ser viável aos negócios, era preciso alterar a probabilidade de acerto do cliente sem alterar a regra da promoção. Para isso, resolveu alterar a quantidade de bolinhas brancas na urna B de forma que a probabilidade de um cliente ganhar o voucher passasse a ser menor ou igual a 1%. Sabe-se que a urna B tem 4 bolinhas pretas e que, em ambas as urnas, todas as bolinhas têm a mesma probabilidade de serem retiradas.",[],C,Qual é o número mínimo de bolinhas brancas que o gerente deve adicionar à urna B?,"[{'letter': 'A', 'text': '20', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '60', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '64', 'file': None, 'isCorrect': True}, {'letter': 'D', 'text': '68', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '80', 'file': None, 'isCorrect': False}]",Difícil,Estatística e Probabilidade,Probabilidade Simples e Condicional
3,Questão 139 - ENEM 2023,139,matematica,2023,"O gerente de uma fábrica pretende comparar a evolução das vendas de dois produtos similares (I e II). Para isso, passou a verificar o número de unidades vendidas de cada um desses produtos em cada mês. Os resultados dessa verificação, para os meses de abril a junho, são apresentados na tabela.

![](https://enem.dev/2023/questions/139/abba5cb1-da9d-4899-bda7-97099ca51147.png)

O gerente estava decidido a cessar a produção do produto II no mês seguinte àquele em que as vendas do produto I superassem as do produto II.  
Suponha que a variação na quantidade de unidades vendidas dos produtos I e II se manteve, mês a mês, como no período representado na tabela.",['https://enem.dev/2023/questions/139/abba5cb1-da9d-4899-bda7-97099ca51147.png'],D,Em qual mês o produto II parou de ser produzido?,"[{'letter': 'A', 'text': 'Junho.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': 'Julho.', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': 'Agosto.', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': 'Setembro.', 'file': None, 'isCorrect': True}, {'letter': 'E', 'text': 'Outubro.', 'file': None, 'isCorrect': False}]",Média,Álgebra e Funções,Progressão Aritmética (PA) / Análise de Gráficos e Tabelas
4,Questão 140 - ENEM 2023,140,matematica,2023,"Uma empresa de transporte faz regularmente um levantamento do número de viagens realizadas durante o dia por todos os 160 motoristas cadastrados em seu aplicativo. Em um certo dia, foi gerado um relatório, por meio de um gráfico de barras, no qual se relacionaram a quantidade de motoristas com a quantidade de viagens realizadas até aquele instante do dia.

![](https://enem.dev/2023/questions/140/846c1155-c9f0-48ad-a862-f9bf883c3935.png)",['https://enem.dev/2023/questions/140/846c1155-c9f0-48ad-a862-f9bf883c3935.png'],E,"Comparando os valores da média, da mediana e da moda da distribuição das quantidades de viagens realizadas pelos motoristas cadastrados nessa empresa, obtém-se","[{'letter': 'A', 'text': 'Mediana = média < moda.', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': 'Mediana = moda < média.', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': 'Mediana < média < moda.', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': 'Moda < média < mediana.', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': 'Moda < mediana < média.', 'file': None, 'isCorrect': True}]",Média,Estatística e Probabilidade,Média (Aritmética/Ponderada) / Mediana / Moda / Análise de Gráficos/Tabelas
5,Questão 141 - ENEM 2023,141,matematica,2023,,[],E,Qual a probabilidade de o vencedor do sorteio ser um estudante do terceiro ano?,"[{'letter': 'A', 'text': None, 'file': 'https://enem.dev/2023/questions/141/e698edb1-adc0-416b-9370-c20a7e878259.jpg', 'isCorrect': False}, {'letter': 'B', 'text': None, 'file': 'https://enem.dev/2023/questions/141/b5f5bdf5-2251-4326-9877-ce9c2d831600.jpg', 'isCorrect': False}, {'letter': 'C', 'text': None, 'file': 'https://enem.dev/2023/questions/141/d241fadb-6516-4ca8-aa9b-e72fff314881.jpg', 'isCorrect': False}, {'letter': 'D', 'text': None, 'file': 'https://enem.dev/2023/questions/141/1dcce683-4ef7-4862-b554-3e3c66de54c3.jpg', 'isCorrect': False}, {'letter': 'E', 'text': None, 'file': 'https://enem.dev/2023/questions/141/7b4de18d-92ca-488f-8419-ec95d852a135.jpg', 'isCorrect': True}]",Fácil,Estatística e Probabilidade,Probabilidade Simples e Condicional
6,Questão 142 - ENEM 2023,142,matematica,2023,,[],A,"Qual é a quantidade mínima de água, em litro, que cada morador, em média, deverá economizar por dia, de modo que o reservatório não fique sem água nos próximos 10 dias?","[{'letter': 'A', 'text': '50', 'file': None, 'isCorrect': True}, {'letter': 'B', 'text': '60', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '80', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '140', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '150', 'file': None, 'isCorrect': False}]",Média,Matematica Básica,Razão e Proporção
7,Questão 143 - ENEM 2023,143,matematica,2023,"Em janeiro do ano passado, a direção de uma fábrica abriu uma creche para os filhos de seus funcionários, com 10 salas, cada uma com capacidade para atender 10 crianças a cada ano. As vagas são sorteadas entre os filhos dos funcionários inscritos, enquanto os não contemplados pelo sorteio formam uma lista de espera. No ano passado, a lista de espera teve 400 nomes e, neste ano, esse número cresceu 10%. A direção da fábrica realizou uma pesquisa e constatou que a lista de espera para o próximo ano terá a mesma quantidade de nomes da lista de espera deste ano. Decidiu, então, construir, ao longo desse ano, novas salas para a creche, também com capacidade de atendimento para 10 crianças cada, de modo que o número de nomes na lista de espera no próximo ano seja 25% menor que o deste ano.",[],B,O número mínimo de salas que deverão ser construídas é,"[{'letter': 'A', 'text': '10', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '11', 'file': None, 'isCorrect': True}, {'letter': 'C', 'text': '12', 'file': None, 'isCorrect': False}, {'letter': 'D', 'text': '30', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '33', 'file': None, 'isCorrect': False}]",Média,Matemática Básica,Porcentagem / Regra de Três
8,Questão 144 - ENEM 2023,144,matematica,2023,"A foto mostra a construção de uma cisterna destinada ao armazenamento de água. Uma cisterna como essa, na forma de cilindro circular reto com 3 m² de área da base, foi abastecida por um curso-d’água com vazão constante. O seu proprietário registrou a altura do nível da água no interior da cisterna durante o abastecimento em diferentes momentos de um mesmo dia, conforme o quadro.

![](https://enem.dev/2023/questions/144/c606403f-fd10-4c02-8e46-736fece94b85.png)

![](https://enem.dev/2023/questions/144/2107cabc-64d0-4a1f-9eab-fa7dce0e9ac2.png)

Disponível em: www.paraibamix.com. Acesso em: 3 dez. 2012.","['https://enem.dev/2023/questions/144/c606403f-fd10-4c02-8e46-736fece94b85.png', 'https://enem.dev/2023/questions/144/2107cabc-64d0-4a1f-9eab-fa7dce0e9ac2.png']",C,"Qual foi a vazão, em metro cúbico por hora, do curso-d’água que abasteceu a cisterna?","[{'letter': 'A', 'text': '0,3', 'file': None, 'isCorrect': False}, {'letter': 'B', 'text': '0,5', 'file': None, 'isCorrect': False}, {'letter': 'C', 'text': '0,9', 'file': None, 'isCorrect': True}, {'letter': 'D', 'text': '1,8', 'file': None, 'isCorrect': False}, {'letter': 'E', 'text': '2,7', 'file': None, 'isCorrect': False}]",Média,Geometria Espacial,"Volume e Área de Prismas, Cilindros, Cones, Pirâmides e Esferas / Unidades de Medida e Vazão"
9,Questão 145 - ENEM 2023,145,matematica,2023,"Num certo momento de um jogo digital, a tela apresenta a imagem representada na figura. O ponto Q1 representa a posição de um jogador que está com a bola, os pontos Q2, Q3, Q4 , Q5 e Q6  
também indicam posições de jogadores da mesma equipe, e os pontos A e B indicam os dois pés da trave mais próxima deles. No momento da partida retratado, o jogador Q1 tem a posse da bola, que será passada para um dos outros jogadores das posições Qn, n ∈ {2, 3, 4, 5, 6}, cujo ângulo AQnB tenha a mesma medida do ângulo AQ1 B.

![](https://enem.dev/2023/questions/145/f338280e-33fe-4896-b296-cfb94ca78430.png)",['https://enem.dev/2023/questions/145/f338280e-33fe-4896-b296-cfb94ca78430.png'],B,Qual é o jogador que receberá a bola?,"[{'letter': 'A', 'text': None, 'file': 'https://enem.dev/2023/questions/145/b794885b-0519-4e72-87e0-93de02461252.png', 'isCorrect': False}, {'letter': 'B', 'text': None, 'file': 'https://enem.dev/2023/questions/145/57b5461f-1924-4599-9914-4b148b722d7c.png', 'isCorrect': True}, {'letter': 'C', 'text': None, 'file': 'https://enem.dev/2023/questions/145/d7e46a12-9912-4fad-8d9d-225859b42312.png', 'isCorrect': False}, {'letter': 'D', 'text': None, 'file': 'https://enem.dev/2023/questions/145/7a03bf64-9ae1-4137-924d-e1c6110fd1a3.png', 'isCorrect': False}, {'letter': 'E', 'text': None, 'file': 'https://enem.dev/2023/questions/145/5be53460-7a9a-4138-8d62-ac01b26993d6.png', 'isCorrect': False}]",Difícil,Geometria Plana,Áreas de Figuras Planas
